Date/Time,Temperature (K),Temperature (°C),Temperature (°F),Humidity (%),Visibility (m),Weather Description
"2024-11-16 15:01:54",305.05,31.90,89.42,33.00,6000.00,"clear sky"
"2024-11-16 15:02:02",305.05,31.90,89.42,33.00,6000.00,"clear sky"
"2024-11-16 15:02:05",305.05,31.90,89.42,33.00,6000.00,"clear sky"
"2024-11-16 15:02:07",305.05,31.90,89.42,33.00,6000.00,"clear sky"
"2024-11-16 15:02:10",305.05,31.90,89.42,33.00,6000.00,"clear sky"
"2024-11-16 02:40:31",305.05,31.90,89.42,35.00,6000.00,"clear sky"
"2024-11-16 02:59:05",305.05,31.90,89.42,35.00,6000.00,"clear sky"
"2024-11-16 02:59:25",305.05,31.90,89.42,35.00,6000.00,"clear sky"
"2024-11-16 03:00:24",305.05,31.90,89.42,35.00,6000.00,"clear sky"
"2024-11-16 03:40:12",304.05,30.90,87.62,37.00,6000.00,"scattered clouds"
"2024-11-16 03:43:20",304.05,30.90,87.62,37.00,6000.00,"scattered clouds"
"2024-11-16 03:58:44",304.05,30.90,87.62,37.00,6000.00,"scattered clouds"
"2024-11-16 19:01:17",295.05,21.90,71.42,83.00,3000.00,"smoke"
"2024-11-17 02:40:42",305.05,31.90,89.42,29.00,6000.00,"clear sky"
"2024-11-17 02:41:48",305.05,31.90,89.42,29.00,6000.00,"clear sky"
"2024-11-17 02:42:53",305.05,31.90,89.42,29.00,6000.00,"clear sky"
"2024-11-17 02:43:59",305.05,31.90,89.42,29.00,6000.00,"clear sky"
"2024-11-17 02:45:05",305.05,31.90,89.42,29.00,6000.00,"clear sky"
"2024-11-17 02:46:10",305.05,31.90,89.42,29.00,6000.00,"clear sky"
"2024-11-17 02:47:16",305.05,31.90,89.42,29.00,6000.00,"clear sky"
"2024-11-17 02:48:19",305.05,31.90,89.42,29.00,6000.00,"clear sky"
"2024-11-17 02:49:25",305.05,31.90,89.42,29.00,6000.00,"clear sky"
"2024-11-17 02:50:29",305.05,31.90,89.42,29.00,6000.00,"clear sky"
"2024-11-17 02:51:35",305.05,31.90,89.42,29.00,6000.00,"clear sky"
"2024-11-17 02:52:40",305.05,31.90,89.42,29.00,6000.00,"clear sky"
"2024-11-17 03:08:28",304.05,30.90,87.62,30.00,6000.00,"clear sky"
"2024-11-17 03:09:33",304.05,30.90,87.62,30.00,6000.00,"clear sky"
"2024-11-17 03:10:35",304.05,30.90,87.62,30.00,6000.00,"clear sky"
"2024-11-17 03:11:37",304.05,30.90,87.62,30.00,6000.00,"clear sky"
"2024-11-17 03:12:38",304.05,30.90,87.62,30.00,6000.00,"clear sky"
"2024-11-17 03:13:40",304.05,30.90,87.62,30.00,6000.00,"clear sky"
"2024-11-17 03:14:43",304.05,30.90,87.62,30.00,6000.00,"clear sky"
"2024-11-17 03:15:45",304.05,30.90,87.62,30.00,6000.00,"clear sky"
"2024-11-17 03:16:47",304.05,30.90,87.62,30.00,6000.00,"clear sky"
"2024-11-17 03:17:49",304.05,30.90,87.62,30.00,6000.00,"clear sky"
"2024-11-17 03:18:51",304.05,30.90,87.62,30.00,6000.00,"clear sky"
"2024-11-17 03:19:53",304.05,30.90,87.62,30.00,6000.00,"clear sky"
"2024-11-17 04:57:18",303.05,29.90,85.82,37.00,6000.00,"clear sky"
"2024-11-17 04:57:56",303.05,29.90,85.82,37.00,6000.00,"clear sky"
"2024-11-17 05:15:00",302.05,28.90,84.02,45.00,6000.00,"clear sky"
"2024-11-17 05:15:57",302.05,28.90,84.02,45.00,6000.00,"clear sky"
"2024-11-17 05:16:54",302.05,28.90,84.02,45.00,6000.00,"clear sky"
"2024-11-17 05:17:51",302.05,28.90,84.02,45.00,6000.00,"clear sky"
"2024-11-17 05:18:48",302.05,28.90,84.02,45.00,6000.00,"clear sky"
"2024-11-17 05:19:45",302.05,28.90,84.02,45.00,6000.00,"clear sky"
"2024-11-17 05:20:42",302.05,28.90,84.02,45.00,6000.00,"clear sky"
"2024-11-17 05:21:39",302.05,28.90,84.02,45.00,6000.00,"clear sky"
"2024-11-17 05:22:37",302.05,28.90,84.02,45.00,6000.00,"clear sky"
"2024-11-17 05:23:34",302.05,28.90,84.02,45.00,6000.00,"clear sky"
"2024-11-17 05:24:31",302.05,28.90,84.02,45.00,6000.00,"clear sky"
"2024-11-17 05:25:27",302.05,28.90,84.02,45.00,6000.00,"clear sky"
"2024-11-17 06:00:33",301.05,27.90,82.22,51.00,6000.00,"clear sky"
"2024-11-17 06:01:29",301.05,27.90,82.22,51.00,6000.00,"clear sky"
"2024-11-17 06:02:26",301.05,27.90,82.22,51.00,6000.00,"clear sky"
"2024-11-17 06:03:23",301.05,27.90,82.22,51.00,6000.00,"clear sky"
